banco,clase,nombre,soporte,cobertura_retirada,cobertura_confianza
PASTIS-R,0,0,6128,0.96671,0.898499
PASTIS-R,2,2,2196,0.98133,0.947632
PASTIS-R,7,7,2067,0.973875,0.874214
PASTIS-R,1,1,1584,0.946338,0.907197
PASTIS-R,13,13,660,0.516667,0.609091
PASTIS-R,11,11,576,0.298611,0.526042
PASTIS-R,3,3,573,0.902269,0.762653
PASTIS-R,15,15,511,0.260274,0.722114
PASTIS-R,4,4,387,0.976744,0.894057
PASTIS-R,10,10,355,0.090141,0.740845
PASTIS-R,6,6,313,0.693291,0.702875
PASTIS-R,9,9,214,0.476636,0.71028
PASTIS-R,14,14,209,0.971292,0.91866
PASTIS-R,17,17,206,0.533981,0.504854
PASTIS-R,5,5,198,0.20202,0.636364
PASTIS-R,16,16,193,0.414508,0.704663
PASTIS-R,8,8,167,0.958084,0.952096
PASTIS-R,12,12,103,0.271845,0.621359
BreizhCrops,8,temporary meadows,18113,0.811241,0.809584
BreizhCrops,3,corn,14972,0.99646,0.96961
BreizhCrops,7,permanent meadows,11970,0.605931,0.780201
BreizhCrops,1,wheat,9236,0.992638,0.897575
BreizhCrops,0,barley,3693,0.991606,0.806661
BreizhCrops,2,rapeseed,1718,0.993015,0.908033
BreizhCrops,5,orchards,289,0.557093,0.733564
BreizhCrops,6,nuts,7,0.571429,0.857143
BreizhCrops,4,sunflower,2,1.0,1.0
