front,source,query,executed_at,http_status,n_results,raw_file
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,2026-09-02T20:22:57+00:00,200,25,openalex_F1-stacking-arbitraje_stacking-ensemble-crop-type-classification-remote-sensing.json
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,2026-09-02T20:22:57+00:00,200,25,openalex_F1-stacking-arbitraje_heterogeneous-ensemble-learning-land-cover-classification-me.json
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,2026-09-02T20:22:57+00:00,200,25,openalex_F1-stacking-arbitraje_ensemble-crop-mapping-satellite-image-time-series-deep-learn.json
F1-stacking-arbitraje,openalex,class imbalance macro F1 crop type classification,2026-09-02T20:22:57+00:00,200,25,openalex_F1-stacking-arbitraje_class-imbalance-macro-f1-crop-type-classification.json
F2-cardinalidad-selectiva,openalex,number of crop classes legend accuracy trade-off mapping,2026-09-02T20:22:57+00:00,200,25,openalex_F2-cardinalidad-selectiva_number-of-crop-classes-legend-accuracy-trade-off-mapping.json
F2-cardinalidad-selectiva,openalex,selective classification reject option remote sensing,2026-09-02T20:22:57+00:00,200,25,openalex_F2-cardinalidad-selectiva_selective-classification-reject-option-remote-sensing.json
F2-cardinalidad-selectiva,openalex,crop type nomenclature hierarchy harmonisation EuroCrops HCAT,2026-09-02T20:22:57+00:00,200,4,openalex_F2-cardinalidad-selectiva_crop-type-nomenclature-hierarchy-harmonisation-eurocrops-hca.json
F2-cardinalidad-selectiva,openalex,rare crop classes long tail parcel classification,2026-09-02T20:22:57+00:00,200,25,openalex_F2-cardinalidad-selectiva_rare-crop-classes-long-tail-parcel-classification.json
F3-contexto-espacial-fm,openalex,AlphaEarth Foundations embeddings evaluation,2026-09-02T20:22:57+00:00,200,25,openalex_F3-contexto-espacial-fm_alphaearth-foundations-embeddings-evaluation.json
F3-contexto-espacial-fm,openalex,spatial context object based post-classification smoothing crop map,2026-09-02T20:22:57+00:00,200,25,openalex_F3-contexto-espacial-fm_spatial-context-object-based-post-classification-smoothing-c.json
F3-contexto-espacial-fm,openalex,spatial cross-validation spatial autocorrelation model evaluation,2026-09-02T20:22:57+00:00,200,25,openalex_F3-contexto-espacial-fm_spatial-cross-validation-spatial-autocorrelation-model-evalu.json
F3-contexto-espacial-fm,openalex,foundation model embeddings crop type classification transferability,2026-09-02T20:22:57+00:00,200,25,openalex_F3-contexto-espacial-fm_foundation-model-embeddings-crop-type-classification-transfe.json
F4-copiloto-llm-eo,openalex,large language model agent geospatial analysis benchmark,2026-09-02T20:22:57+00:00,200,25,openalex_F4-copiloto-llm-eo_large-language-model-agent-geospatial-analysis-benchmark.json
F4-copiloto-llm-eo,openalex,vision language model agriculture remote sensing benchmark,2026-09-02T20:22:57+00:00,200,25,openalex_F4-copiloto-llm-eo_vision-language-model-agriculture-remote-sensing-benchmark.json
F4-copiloto-llm-eo,openalex,retrieval augmented generation grounding hallucination geospatial,2026-09-02T20:22:57+00:00,200,25,openalex_F4-copiloto-llm-eo_retrieval-augmented-generation-grounding-hallucination-geosp.json
F1-stacking-arbitraje,arxiv,"all:""crop type classification"" AND all:""ensemble""",2026-09-02T20:23:28+00:00,200,1,arxiv_F1-stacking-arbitraje_all-crop-type-classification-and-all-ensemble.json
F1-stacking-arbitraje,arxiv,"all:""stacking"" AND all:""satellite image time series""",2026-09-02T20:23:28+00:00,200,1,arxiv_F1-stacking-arbitraje_all-stacking-and-all-satellite-image-time-series.json
F1-stacking-arbitraje,arxiv,"all:""heterogeneous ensemble"" AND all:""remote sensing""",2026-09-02T20:23:28+00:00,200,0,arxiv_F1-stacking-arbitraje_all-heterogeneous-ensemble-and-all-remote-sensing.json
F1-stacking-arbitraje,arxiv,"all:""meta-learner"" AND all:""land cover classification""",2026-09-02T20:23:28+00:00,200,0,arxiv_F1-stacking-arbitraje_all-meta-learner-and-all-land-cover-classification.json
F1-stacking-arbitraje,arxiv,"all:""crop mapping"" AND all:""class imbalance""",2026-09-02T20:23:28+00:00,200,0,arxiv_F1-stacking-arbitraje_all-crop-mapping-and-all-class-imbalance.json
F1-stacking-arbitraje,arxiv,"all:""ensemble"" AND all:""per-class"" AND all:""crop classification""",2026-09-02T20:23:28+00:00,200,0,arxiv_F1-stacking-arbitraje_all-ensemble-and-all-per-class-and-all-crop-classification.json
F1-stacking-arbitraje,arxiv,"all:""model selection"" AND all:""ensemble"" AND all:""Sentinel-2""",2026-09-02T20:23:28+00:00,200,0,arxiv_F1-stacking-arbitraje_all-model-selection-and-all-ensemble-and-all-sentinel-2.json
F1-stacking-arbitraje,arxiv,"all:""stacking"" AND all:""crop""",2026-09-02T20:23:28+00:00,200,25,arxiv_F1-stacking-arbitraje_all-stacking-and-all-crop.json
F1-stacking-arbitraje,arxiv,"all:""soft voting"" AND all:""land cover""",2026-09-02T20:23:28+00:00,200,0,arxiv_F1-stacking-arbitraje_all-soft-voting-and-all-land-cover.json
F2-cardinalidad-selectiva,arxiv,"all:""selective classification"" AND all:""reject option""",2026-09-02T20:23:28+00:00,200,7,arxiv_F2-cardinalidad-selectiva_all-selective-classification-and-all-reject-option.json
F2-cardinalidad-selectiva,arxiv,"all:""classification with rejection"" AND all:""remote sensing""",2026-09-02T20:23:28+00:00,200,0,arxiv_F2-cardinalidad-selectiva_all-classification-with-rejection-and-all-remote-sensing.json
F2-cardinalidad-selectiva,arxiv,"all:""long-tailed"" AND all:""land cover""",2026-09-02T20:23:28+00:00,200,5,arxiv_F2-cardinalidad-selectiva_all-long-tailed-and-all-land-cover.json
F2-cardinalidad-selectiva,arxiv,"all:""crop type"" AND all:""taxonomy"" AND all:""hierarchy""",2026-09-02T20:23:28+00:00,200,0,arxiv_F2-cardinalidad-selectiva_all-crop-type-and-all-taxonomy-and-all-hierarchy.json
F2-cardinalidad-selectiva,arxiv,"all:""accuracy"" AND all:""coverage"" AND all:""abstention""",2026-09-02T20:23:28+00:00,200,25,arxiv_F2-cardinalidad-selectiva_all-accuracy-and-all-coverage-and-all-abstention.json
F2-cardinalidad-selectiva,arxiv,"all:""reject curves"" AND all:""classification""",2026-09-02T20:23:28+00:00,200,5,arxiv_F2-cardinalidad-selectiva_all-reject-curves-and-all-classification.json
F2-cardinalidad-selectiva,arxiv,"all:""label space"" AND all:""granularity"" AND all:""classification""",2026-09-02T20:23:28+00:00,200,11,arxiv_F2-cardinalidad-selectiva_all-label-space-and-all-granularity-and-all-classification.json
F2-cardinalidad-selectiva,arxiv,"all:""crop type"" AND all:""rare classes""",2026-09-02T20:23:28+00:00,200,1,arxiv_F2-cardinalidad-selectiva_all-crop-type-and-all-rare-classes.json
F3-contexto-espacial-fm,arxiv,"all:""AlphaEarth""",2026-09-02T20:23:28+00:00,200,25,arxiv_F3-contexto-espacial-fm_all-alphaearth.json
F3-contexto-espacial-fm,arxiv,"all:""geospatial foundation model"" AND all:""embeddings""",2026-09-02T20:23:28+00:00,200,25,arxiv_F3-contexto-espacial-fm_all-geospatial-foundation-model-and-all-embeddings.json
F3-contexto-espacial-fm,arxiv,"all:""spatial context"" AND all:""crop type mapping""",2026-09-02T20:23:28+00:00,200,0,arxiv_F3-contexto-espacial-fm_all-spatial-context-and-all-crop-type-mapping.json
F3-contexto-espacial-fm,arxiv,"all:""spatial cross-validation"" AND all:""remote sensing""",2026-09-02T20:23:28+00:00,200,7,arxiv_F3-contexto-espacial-fm_all-spatial-cross-validation-and-all-remote-sensing.json
F3-contexto-espacial-fm,arxiv,"all:""self-supervised"" AND all:""satellite image time series""",2026-09-02T20:23:28+00:00,200,6,arxiv_F3-contexto-espacial-fm_all-self-supervised-and-all-satellite-image-time-series.json
F3-contexto-espacial-fm,arxiv,"all:""satellite embedding"" AND all:""crop""",2026-09-02T20:23:28+00:00,200,0,arxiv_F3-contexto-espacial-fm_all-satellite-embedding-and-all-crop.json
F3-contexto-espacial-fm,arxiv,"all:""conditional random field"" AND all:""crop classification""",2026-09-02T20:23:28+00:00,200,0,arxiv_F3-contexto-espacial-fm_all-conditional-random-field-and-all-crop-classification.json
F3-contexto-espacial-fm,arxiv,"all:""spatial autocorrelation"" AND all:""model evaluation""",2026-09-02T20:23:28+00:00,200,3,arxiv_F3-contexto-espacial-fm_all-spatial-autocorrelation-and-all-model-evaluation.json
F4-copiloto-llm-eo,arxiv,"all:""large language model"" AND all:""remote sensing"" AND all:""agent""",2026-09-02T20:23:28+00:00,200,25,arxiv_F4-copiloto-llm-eo_all-large-language-model-and-all-remote-sensing-and-all-agen.json
F4-copiloto-llm-eo,arxiv,"all:""geospatial"" AND all:""tool"" AND all:""LLM agent""",2026-09-02T20:23:28+00:00,200,6,arxiv_F4-copiloto-llm-eo_all-geospatial-and-all-tool-and-all-llm-agent.json
F4-copiloto-llm-eo,arxiv,"all:""vision language model"" AND all:""agriculture"" AND all:""benchmark""",2026-09-02T20:23:28+00:00,200,25,arxiv_F4-copiloto-llm-eo_all-vision-language-model-and-all-agriculture-and-all-benchm.json
F4-copiloto-llm-eo,arxiv,"all:""retrieval augmented generation"" AND all:""geospatial""",2026-09-02T20:23:28+00:00,200,20,arxiv_F4-copiloto-llm-eo_all-retrieval-augmented-generation-and-all-geospatial.json
F4-copiloto-llm-eo,arxiv,"all:""multi-agent"" AND all:""perception"" AND all:""reasoning""",2026-09-02T20:23:28+00:00,200,25,arxiv_F4-copiloto-llm-eo_all-multi-agent-and-all-perception-and-all-reasoning.json
F4-copiloto-llm-eo,arxiv,"all:""GIS agent"" AND all:""benchmark""",2026-09-02T20:23:28+00:00,200,2,arxiv_F4-copiloto-llm-eo_all-gis-agent-and-all-benchmark.json
F4-copiloto-llm-eo,arxiv,"all:""tool-augmented"" AND all:""spatial analysis""",2026-09-02T20:23:28+00:00,200,2,arxiv_F4-copiloto-llm-eo_all-tool-augmented-and-all-spatial-analysis.json
F1-stacking-arbitraje,semanticscholar,stacking ensemble crop type classification satellite time series,2026-09-02T20:25:25+00:00,429,0,s2_F1-stacking-arbitraje_stacking-ensemble-crop-type-classification-satellite-time-se.json
F1-stacking-arbitraje,semanticscholar,heterogeneous ensemble per-class arbitration land cover,2026-09-02T20:25:25+00:00,429,0,s2_F1-stacking-arbitraje_heterogeneous-ensemble-per-class-arbitration-land-cover.json
F1-stacking-arbitraje,semanticscholar,ensemble deep learning crop mapping Sentinel-2 imbalance,2026-09-02T20:25:25+00:00,429,0,s2_F1-stacking-arbitraje_ensemble-deep-learning-crop-mapping-sentinel-2-imbalance.json
F2-cardinalidad-selectiva,semanticscholar,selective classification coverage risk trade-off,2026-09-02T20:25:25+00:00,429,0,s2_F2-cardinalidad-selectiva_selective-classification-coverage-risk-trade-off.json
F2-cardinalidad-selectiva,semanticscholar,reject option land cover classification confidence threshold,2026-09-02T20:25:25+00:00,429,0,s2_F2-cardinalidad-selectiva_reject-option-land-cover-classification-confidence-threshold.json
F2-cardinalidad-selectiva,semanticscholar,crop type class hierarchy nomenclature harmonisation EuroCrops,2026-09-02T20:25:25+00:00,429,0,s2_F2-cardinalidad-selectiva_crop-type-class-hierarchy-nomenclature-harmonisation-eurocro.json
