mecanismo,k_leyenda,bloque,n_bloque,n_entregadas,cobertura,f1_macro,accuracy,leyenda
rechazo por confianza,18,0,2007,2007,1.0,0.549224,0.899352,completa
rechazo por confianza,18,1,4259,4259,1.0,0.612958,0.91923,completa
rechazo por confianza,18,2,4533,4526,0.998456,0.508281,0.73597,completa
rechazo por confianza,18,3,4528,4528,1.0,0.614984,0.901281,completa
rechazo por confianza,18,4,1313,1313,1.0,0.52104,0.869002,completa
retirada de clases,18,0,2007,2007,1.0,0.549224,0.899352,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
retirada de clases,18,1,4259,4259,1.0,0.612958,0.91923,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
retirada de clases,18,2,4533,4533,1.0,0.507633,0.735275,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
retirada de clases,18,3,4528,4528,1.0,0.614984,0.901281,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
retirada de clases,18,4,1313,1313,1.0,0.52104,0.869002,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
rechazo por confianza,16,0,2007,1982,0.987544,0.561962,0.909183,completa
rechazo por confianza,16,1,4259,4224,0.991782,0.596699,0.924242,completa
rechazo por confianza,16,2,4533,2610,0.575778,0.631094,0.888889,completa
rechazo por confianza,16,3,4528,4454,0.983657,0.629419,0.909969,completa
rechazo por confianza,16,4,1313,1270,0.967251,0.539626,0.888189,completa
retirada de clases,16,0,2007,1971,0.982063,0.579987,0.908676,"0,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16"
retirada de clases,16,1,4259,4168,0.978633,0.665996,0.928983,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
retirada de clases,16,2,4533,3732,0.823296,0.498742,0.741961,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17"
retirada de clases,16,3,4528,4354,0.961572,0.658496,0.924667,"0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16"
retirada de clases,16,4,1313,1264,0.962681,0.529757,0.888449,"0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16"
rechazo por confianza,14,0,2007,1930,0.961634,0.578529,0.925907,completa
rechazo por confianza,14,1,4259,4172,0.979573,0.604737,0.930729,completa
rechazo por confianza,14,2,4533,2055,0.453342,0.659442,0.917762,completa
rechazo por confianza,14,3,4528,4360,0.962898,0.648129,0.92156,completa
rechazo por confianza,14,4,1313,1218,0.927647,0.559877,0.908046,completa
retirada de clases,14,0,2007,1915,0.95416,0.626566,0.92846,"0,1,2,3,4,5,6,7,8,9,10,11,14,15"
retirada de clases,14,1,4259,4028,0.945762,0.700834,0.955313,"0,1,2,3,4,5,6,7,8,10,11,12,14,15"
retirada de clases,14,2,4533,3240,0.714758,0.513809,0.807407,"0,1,2,3,4,5,6,7,8,9,11,12,14,16"
retirada de clases,14,3,4528,4183,0.923807,0.693201,0.950992,"0,1,2,3,4,5,6,7,8,10,11,12,14,15"
retirada de clases,14,4,1313,1196,0.910891,0.583626,0.92893,"0,1,2,3,4,5,6,7,8,10,11,12,14,15"
rechazo por confianza,12,0,2007,1871,0.932237,0.598176,0.941208,completa
rechazo por confianza,12,1,4259,4118,0.966894,0.60925,0.93662,completa
rechazo por confianza,12,2,4533,2039,0.449812,0.659255,0.918097,completa
rechazo por confianza,12,3,4528,4325,0.955168,0.651798,0.925318,completa
rechazo por confianza,12,4,1313,1173,0.893374,0.530709,0.917306,completa
retirada de clases,12,0,2007,1829,0.91131,0.686638,0.948606,"0,1,2,3,4,5,6,7,8,10,14,15"
retirada de clases,12,1,4259,3908,0.917586,0.719009,0.964944,"0,1,2,3,4,6,7,8,10,11,14,15"
retirada de clases,12,2,4533,3223,0.711008,0.604409,0.812287,"0,1,2,3,4,5,6,7,8,11,12,14"
retirada de clases,12,3,4528,4120,0.909894,0.724004,0.956553,"0,1,2,3,4,5,6,7,8,10,14,15"
retirada de clases,12,4,1313,1150,0.875857,0.623305,0.938261,"0,1,2,3,4,6,7,8,10,11,14,15"
rechazo por confianza,10,0,2007,1861,0.927255,0.600483,0.944116,completa
rechazo por confianza,10,1,4259,4045,0.949753,0.612685,0.942151,completa
rechazo por confianza,10,2,4533,1737,0.38319,0.670244,0.937248,completa
rechazo por confianza,10,3,4528,4322,0.954505,0.651935,0.925729,completa
rechazo por confianza,10,4,1313,1161,0.884235,0.534338,0.920758,completa
retirada de clases,10,0,2007,1813,0.903338,0.825997,0.957529,"0,1,2,3,4,6,7,8,10,14"
retirada de clases,10,1,4259,3790,0.88988,0.790774,0.979683,"0,1,2,3,4,6,7,8,10,14"
retirada de clases,10,2,4533,2841,0.626737,0.624001,0.855333,"0,1,2,3,4,5,6,7,8,14"
retirada de clases,10,3,4528,4114,0.908569,0.836587,0.957948,"0,1,2,3,4,6,7,8,10,14"
retirada de clases,10,4,1313,1137,0.865956,0.769521,0.950748,"0,1,2,3,4,6,7,8,10,14"
rechazo por confianza,9,0,2007,1849,0.921276,0.603906,0.94808,completa
rechazo por confianza,9,1,4259,4040,0.948579,0.654901,0.943069,completa
rechazo por confianza,9,2,4533,1695,0.373925,0.666512,0.938643,completa
rechazo por confianza,9,3,4528,4291,0.947659,0.655803,0.928455,completa
rechazo por confianza,9,4,1313,1147,0.873572,0.539524,0.922406,completa
retirada de clases,9,0,2007,1798,0.895864,0.814748,0.958287,"0,1,2,3,4,7,8,10,14"
retirada de clases,9,1,4259,3787,0.889176,0.832447,0.980195,"0,1,2,3,4,7,8,10,14"
retirada de clases,9,2,4533,2776,0.612398,0.649684,0.868156,"0,1,2,3,4,6,7,8,14"
retirada de clases,9,3,4528,4073,0.899514,0.832108,0.959489,"0,1,2,3,4,7,8,10,14"
retirada de clases,9,4,1313,1116,0.849962,0.762611,0.954301,"0,1,2,3,4,7,8,10,14"
rechazo por confianza,8,0,2007,1847,0.920279,0.605268,0.948565,completa
rechazo por confianza,8,1,4259,4040,0.948579,0.654901,0.943069,completa
rechazo por confianza,8,2,4533,1555,0.34304,0.6743,0.945338,completa
rechazo por confianza,8,3,4528,4189,0.925133,0.659898,0.934829,completa
rechazo por confianza,8,4,1313,1147,0.873572,0.539524,0.922406,completa
retirada de clases,8,0,2007,1795,0.89437,0.917178,0.959889,"0,1,2,3,4,7,8,14"
retirada de clases,8,1,4259,3785,0.888706,0.971435,0.980713,"0,1,2,3,4,7,8,14"
retirada de clases,8,2,4533,2543,0.560997,0.651356,0.880063,"0,1,2,3,4,7,8,14"
retirada de clases,8,3,4528,3881,0.857111,0.818785,0.962638,"0,1,2,4,7,8,10,14"
retirada de clases,8,4,1313,1116,0.849962,0.762611,0.954301,"0,1,2,3,4,7,8,14"
