k_leyenda,mecanismo,cobertura_media,f1_macro_medio,f1_macro_min,f1_macro_max,accuracy_media,n_entregadas_total
18,rechazo por confianza,1.0,0.5611678,0.507633,0.614984,0.8648279999999999,16640
18,retirada de clases,1.0,0.5611678,0.507633,0.614984,0.8648279999999999,16640
16,rechazo por confianza,0.941649,0.5862622,0.538121,0.648404,0.8924683999999999,15489
16,retirada de clases,0.941649,0.5865956000000001,0.498742,0.665996,0.8785472000000001,15489
14,rechazo por confianza,0.8898756000000001,0.6160126,0.557451,0.662386,0.915548,14562
14,retirada de clases,0.8898756000000001,0.6236072,0.513809,0.700834,0.9142203999999999,14562
12,rechazo por confianza,0.8651310000000001,0.6210442,0.539619,0.677845,0.9241386,14230
12,retirada de clases,0.8651310000000001,0.671473,0.604409,0.724004,0.9241301999999999,14230
10,rechazo por confianza,0.8388959999999999,0.6270626,0.547358,0.677927,0.9302792,13695
10,retirada de clases,0.8388959999999999,0.7693760000000001,0.624001,0.836587,0.9402481999999999,13695
9,rechazo por confianza,0.8293828,0.6282094,0.552773,0.673794,0.932385,13550
9,retirada de clases,0.8293828,0.7783196,0.649684,0.832447,0.9440856,13550
8,rechazo por confianza,0.8102292,0.6298448000000001,0.552773,0.680871,0.9369158000000001,13120
8,retirada de clases,0.8102292,0.824273,0.651356,0.971435,0.9475208,13120
