miembro,f1_macro,accuracy,regimen
tsvit-pheno,0.7366636524241267,0.8578725961538461,held-out
xgb-alphaearth,0.5912764913359826,0.7811298076923077,held-out
deeplabv3plus,0.3546339119196367,0.6490384615384616,held-out
segformer,0.3382421282522676,0.6473557692307692,held-out
tsvit-pheno-fullm,0.2551605804452637,0.5334134615384616,held-out
unet,0.20546845628698676,0.5541466346153846,held-out
utae,0.1880005931510312,0.5407451923076924,held-out
anysat,0.18725567224086836,0.5709735576923077,held-out
farslip-ft18,0.17304169807131065,0.3141826923076923,held-out
farslip-zeroshot,0.030611405596178247,0.09477163461538461,held-out
