predictor,mecanismo,k_leyenda,bloque,n_entregadas,cobertura,f1_alineado,f1_nativo,accuracy,leyenda
tsvit-pheno,rechazo por confianza,18,0,2007,1.0,0.549224,0.549224,0.899352,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,18,1,4259,1.0,0.612958,0.612958,0.91923,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,18,2,4533,1.0,0.507633,0.507633,0.735275,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,18,3,4528,1.0,0.614984,0.614984,0.901281,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,18,4,1313,1.0,0.52104,0.52104,0.869002,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,retirada por F1,18,0,2007,1.0,0.549224,0.549224,0.899352,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,retirada por F1,18,1,4259,1.0,0.612958,0.612958,0.91923,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,retirada por F1,18,2,4533,1.0,0.507633,0.507633,0.735275,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,retirada por F1,18,3,4528,1.0,0.614984,0.614984,0.901281,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,retirada por F1,18,4,1313,1.0,0.52104,0.52104,0.869002,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,retirada por soporte,18,0,2007,1.0,0.549224,0.549224,0.899352,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,retirada por soporte,18,1,4259,1.0,0.612958,0.612958,0.91923,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,retirada por soporte,18,2,4533,1.0,0.507633,0.507633,0.735275,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,retirada por soporte,18,3,4528,1.0,0.614984,0.614984,0.901281,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,retirada por soporte,18,4,1313,1.0,0.52104,0.52104,0.869002,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,sin mecanismo,18,0,2007,1.0,0.549224,0.549224,0.899352,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,sin mecanismo,18,1,4259,1.0,0.612958,0.612958,0.91923,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,sin mecanismo,18,2,4533,1.0,0.507633,0.507633,0.735275,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,sin mecanismo,18,3,4528,1.0,0.614984,0.614984,0.901281,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,sin mecanismo,18,4,1313,1.0,0.52104,0.52104,0.869002,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,16,0,1986,0.989537,0.583131,0.559682,0.907351,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,16,1,4201,0.986382,0.638785,0.600908,0.927636,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,16,2,3621,0.798809,0.560604,0.592351,0.816901,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,16,3,4430,0.978357,0.6691,0.634979,0.912867,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,16,4,1277,0.972582,0.540267,0.535639,0.88567,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,retirada por F1,16,0,1986,0.989537,0.578598,0.578598,0.900806,"0,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16"
tsvit-pheno,retirada por F1,16,1,4201,0.986382,0.659134,0.659134,0.920971,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
tsvit-pheno,retirada por F1,16,2,3621,0.798809,0.506418,0.506418,0.736537,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17"
tsvit-pheno,retirada por F1,16,3,4430,0.978357,0.656158,0.656158,0.906095,"0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16"
tsvit-pheno,retirada por F1,16,4,1277,0.972582,0.526657,0.526657,0.873923,"0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16"
tsvit-pheno,retirada por soporte,16,0,1907,0.950174,0.526731,0.526731,0.904562,"0,1,2,3,4,5,6,7,9,10,11,13,14,15,16,17"
tsvit-pheno,retirada por soporte,16,1,4149,0.974172,0.596414,0.596414,0.919981,"0,1,2,3,4,5,6,7,9,10,11,13,14,15,16,17"
tsvit-pheno,retirada por soporte,16,2,3621,0.798809,0.506418,0.506418,0.736537,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17"
tsvit-pheno,retirada por soporte,16,3,4391,0.969744,0.613075,0.613075,0.901161,"0,1,2,3,4,5,6,7,8,9,10,11,13,15,16,17"
tsvit-pheno,retirada por soporte,16,4,1274,0.970297,0.538239,0.538239,0.868917,"0,1,2,3,4,6,7,8,9,10,11,13,14,15,16,17"
tsvit-pheno,sin mecanismo,16,0,2007,1.0,0.573433,0.573433,0.899352,"0,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16"
tsvit-pheno,sin mecanismo,16,1,4259,1.0,0.655819,0.655819,0.91923,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
tsvit-pheno,sin mecanismo,16,2,4533,1.0,0.473828,0.473828,0.735275,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17"
tsvit-pheno,sin mecanismo,16,3,4528,1.0,0.648534,0.648534,0.901281,"0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16"
tsvit-pheno,sin mecanismo,16,4,1313,1.0,0.524277,0.524277,0.869002,"0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16"
tsvit-pheno,rechazo por confianza,14,0,1960,0.976582,0.626772,0.567214,0.914796,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,14,1,4126,0.968772,0.67152,0.609652,0.9365,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,14,2,3257,0.718509,0.567508,0.618534,0.853853,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,14,3,4327,0.95561,0.710079,0.65155,0.925121,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,14,4,1255,0.955826,0.583684,0.549595,0.893227,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,retirada por F1,14,0,1960,0.976582,0.622095,0.622095,0.903571,"0,1,2,3,4,5,6,7,8,9,10,11,14,15"
tsvit-pheno,retirada por F1,14,1,4126,0.968772,0.691902,0.691902,0.926806,"0,1,2,3,4,5,6,7,8,10,11,12,14,15"
tsvit-pheno,retirada por F1,14,2,3257,0.718509,0.515912,0.515912,0.748542,"0,1,2,3,4,5,6,7,8,9,11,12,14,16"
tsvit-pheno,retirada por F1,14,3,4327,0.95561,0.681494,0.681494,0.91241,"0,1,2,3,4,5,6,7,8,10,11,12,14,15"
tsvit-pheno,retirada por F1,14,4,1255,0.955826,0.567248,0.567248,0.878088,"0,1,2,3,4,5,6,7,8,10,11,12,14,15"
tsvit-pheno,retirada por soporte,14,0,1852,0.92277,0.539555,0.539555,0.902808,"0,1,2,3,4,5,6,7,9,10,11,13,15,17"
tsvit-pheno,retirada por soporte,14,1,4005,0.940362,0.579528,0.579528,0.924594,"0,1,2,3,4,6,7,9,10,11,13,14,15,17"
tsvit-pheno,retirada por soporte,14,2,3502,0.772557,0.508293,0.508293,0.74072,"0,1,2,3,4,5,6,7,8,9,11,13,14,16"
tsvit-pheno,retirada por soporte,14,3,4264,0.941696,0.63084,0.63084,0.908537,"0,1,2,3,4,5,6,7,8,10,11,13,15,17"
tsvit-pheno,retirada por soporte,14,4,1263,0.961919,0.5568,0.5568,0.870942,"0,1,2,3,4,6,7,9,10,11,13,14,15,17"
tsvit-pheno,sin mecanismo,14,0,2007,1.0,0.615791,0.615791,0.899352,"0,1,2,3,4,5,6,7,8,9,10,11,14,15"
tsvit-pheno,sin mecanismo,14,1,4259,1.0,0.687899,0.687899,0.91923,"0,1,2,3,4,5,6,7,8,10,11,12,14,15"
tsvit-pheno,sin mecanismo,14,2,4533,1.0,0.465884,0.465884,0.735275,"0,1,2,3,4,5,6,7,8,9,11,12,14,16"
tsvit-pheno,sin mecanismo,14,3,4528,1.0,0.674432,0.674432,0.901281,"0,1,2,3,4,5,6,7,8,10,11,12,14,15"
tsvit-pheno,sin mecanismo,14,4,1313,1.0,0.562584,0.562584,0.869002,"0,1,2,3,4,5,6,7,8,10,11,12,14,15"
tsvit-pheno,rechazo por confianza,12,0,1897,0.945192,0.692975,0.591055,0.935161,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,12,1,4015,0.94271,0.66547,0.657171,0.944458,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,12,2,3254,0.717847,0.670667,0.618593,0.854026,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,12,3,4271,0.943242,0.722612,0.654104,0.929291,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,12,4,1216,0.926123,0.628478,0.559145,0.907895,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,retirada por F1,12,0,1897,0.945192,0.675666,0.675666,0.909331,"0,1,2,3,4,5,6,7,8,10,14,15"
tsvit-pheno,retirada por F1,12,1,4015,0.94271,0.696084,0.696084,0.931258,"0,1,2,3,4,6,7,8,10,11,14,15"
tsvit-pheno,retirada por F1,12,2,3254,0.717847,0.603411,0.603411,0.749232,"0,1,2,3,4,5,6,7,8,11,12,14"
tsvit-pheno,retirada por F1,12,3,4271,0.943242,0.708388,0.708388,0.915008,"0,1,2,3,4,5,6,7,8,10,14,15"
tsvit-pheno,retirada por F1,12,4,1216,0.926123,0.601439,0.601439,0.878289,"0,1,2,3,4,6,7,8,10,11,14,15"
tsvit-pheno,retirada por soporte,12,0,1851,0.922272,0.629604,0.629604,0.903296,"0,1,2,3,4,6,7,9,10,11,13,15"
tsvit-pheno,retirada por soporte,12,1,3974,0.933083,0.633084,0.633084,0.926271,"0,1,2,3,4,6,7,10,11,13,14,15"
tsvit-pheno,retirada por soporte,12,2,3222,0.710788,0.501661,0.501661,0.743327,"0,1,2,3,4,7,8,9,11,13,14,16"
