predictor,k_leyenda,mecanismo,cobertura_media,f1_alineado_medio,f1_alineado_min,f1_alineado_max,f1_nativo_medio,accuracy_media
tsvit-pheno,18,rechazo por confianza,1.0,0.5611678,0.507633,0.614984,0.5611678,0.8648279999999999
tsvit-pheno,18,retirada por F1,1.0,0.5611678,0.507633,0.614984,0.5611678,0.8648279999999999
tsvit-pheno,18,retirada por soporte,1.0,0.5611678,0.507633,0.614984,0.5611678,0.8648279999999999
tsvit-pheno,18,sin mecanismo,1.0,0.5611678,0.507633,0.614984,0.5611678,0.8648279999999999
tsvit-pheno,16,rechazo por confianza,0.9451333999999999,0.5983774000000001,0.540267,0.6691,0.5847118,0.890085
tsvit-pheno,16,retirada por F1,0.9451333999999999,0.585393,0.506418,0.659134,0.585393,0.8676664000000001
tsvit-pheno,16,retirada por soporte,0.9326392,0.5561754000000001,0.506418,0.613075,0.5561754000000001,0.8662316000000001
tsvit-pheno,16,sin mecanismo,1.0,0.5751782000000001,0.473828,0.655819,0.5751782000000001,0.8648279999999999
tsvit-pheno,14,rechazo por confianza,0.9150597999999999,0.6319125999999999,0.567508,0.710079,0.599309,0.9046993999999999
tsvit-pheno,14,retirada por F1,0.9150597999999999,0.6157302,0.515912,0.691902,0.6157302,0.8738834000000001
tsvit-pheno,14,retirada por soporte,0.9078607999999999,0.5630032,0.508293,0.63084,0.5630032,0.8695202
tsvit-pheno,14,sin mecanismo,1.0,0.601318,0.465884,0.687899,0.601318,0.8648279999999999
tsvit-pheno,12,rechazo por confianza,0.8950228000000001,0.6760404,0.628478,0.722612,0.6160135999999999,0.9141662
tsvit-pheno,12,retirada por F1,0.8950228000000001,0.6569976000000001,0.601439,0.708388,0.6569976000000001,0.8766236
tsvit-pheno,12,retirada por soporte,0.8917064,0.6074876,0.501661,0.673244,0.6074876,0.8710742
tsvit-pheno,12,sin mecanismo,1.0,0.6379452,0.543532,0.697651,0.6379452,0.8648279999999999
tsvit-pheno,10,rechazo por confianza,0.8759226,0.7676885999999999,0.666903,0.834337,0.6179458,0.9188064
tsvit-pheno,10,retirada por F1,0.8759226,0.7528668,0.621834,0.821911,0.7528668,0.87965
tsvit-pheno,10,retirada por soporte,0.872153,0.6234276,0.532763,0.670627,0.6234276,0.8717176
tsvit-pheno,10,sin mecanismo,1.0,0.728068,0.534433,0.812281,0.728068,0.8648279999999999
tsvit-pheno,9,rechazo por confianza,0.8661148000000001,0.7932942,0.697269,0.838244,0.6145088,0.9217107999999999
tsvit-pheno,9,retirada por F1,0.8661148000000001,0.7644564,0.652516,0.820281,0.7644564,0.8820838
tsvit-pheno,9,retirada por soporte,0.8630692,0.6448706,0.594335,0.737547,0.6448706,0.8716188
tsvit-pheno,9,sin mecanismo,1.0,0.738312,0.546317,0.816968,0.738312,0.8648279999999999
tsvit-pheno,8,rechazo por confianza,0.8482808000000001,0.8394494,0.69579,0.977951,0.6209849999999999,0.926766
tsvit-pheno,8,retirada por F1,0.8482808000000001,0.8051902,0.635811,0.956995,0.8051902,0.8814078000000001
tsvit-pheno,8,retirada por soporte,0.8602806,0.6845202,0.620155,0.734563,0.6845202,0.871725
tsvit-pheno,8,sin mecanismo,1.0,0.7766835999999999,0.518969,0.953129,0.7766835999999999,0.8648279999999999
xgb-alphaearth,18,rechazo por confianza,1.0,0.4106096,0.341679,0.521902,0.4106096,0.773691
xgb-alphaearth,18,retirada por F1,1.0,0.4106096,0.341679,0.521902,0.4106096,0.773691
xgb-alphaearth,18,retirada por soporte,1.0,0.4106096,0.341679,0.521902,0.4106096,0.773691
xgb-alphaearth,18,sin mecanismo,1.0,0.4106096,0.341679,0.521902,0.4106096,0.773691
xgb-alphaearth,16,rechazo por confianza,0.9658583999999999,0.4433954,0.354865,0.57625,0.4218334,0.7908684
xgb-alphaearth,16,retirada por F1,0.9658583999999999,0.44114000000000003,0.346073,0.554772,0.44114000000000003,0.7788579999999999
xgb-alphaearth,16,retirada por soporte,0.9386126000000001,0.4017647999999999,0.350668,0.539628,0.4017647999999999,0.7740414
xgb-alphaearth,16,sin mecanismo,1.0,0.432588,0.341644,0.548846,0.432588,0.773691
xgb-alphaearth,14,rechazo por confianza,0.9427479999999999,0.47607600000000005,0.384236,0.619791,0.42255200000000004,0.8001265999999999
xgb-alphaearth,14,retirada por F1,0.9427479999999999,0.4765804,0.385445,0.601536,0.4765804,0.7776204
xgb-alphaearth,14,retirada por soporte,0.9252382000000001,0.4257422,0.374912,0.580284,0.4257422,0.7768548
xgb-alphaearth,14,sin mecanismo,1.0,0.46586819999999995,0.377937,0.59721,0.46586819999999995,0.773691
xgb-alphaearth,12,rechazo por confianza,0.9155675999999999,0.5250218,0.427266,0.630589,0.43185260000000003,0.8109718000000001
xgb-alphaearth,12,retirada por F1,0.9155675999999999,0.5208292,0.437071,0.61527,0.5208292,0.7822822
xgb-alphaearth,12,retirada por soporte,0.9120666,0.47488779999999997,0.402146,0.622856,0.47488779999999997,0.7793865999999999
xgb-alphaearth,12,sin mecanismo,1.0,0.5066202,0.387226,0.607897,0.5066202,0.773691
xgb-alphaearth,10,rechazo por confianza,0.8925186,0.5669734,0.44026,0.685962,0.4354508,0.8228988000000002
xgb-alphaearth,10,retirada por F1,0.8925186,0.559426,0.428235,0.66386,0.559426,0.7856
xgb-alphaearth,10,retirada por soporte,0.8959617999999999,0.488476,0.435338,0.609954,0.488476,0.7787615999999999
xgb-alphaearth,10,sin mecanismo,1.0,0.539437,0.418395,0.640927,0.539437,0.773691
xgb-alphaearth,9,rechazo por confianza,0.8686475999999999,0.5839084,0.462243,0.683452,0.44625339999999997,0.8334236
xgb-alphaearth,9,retirada por F1,0.8686475999999999,0.5823224,0.499607,0.657557,0.5823224,0.788255
xgb-alphaearth,9,retirada por soporte,0.8891131999999999,0.5103744,0.421107,0.596919,0.5103744,0.7784584
xgb-alphaearth,9,sin mecanismo,1.0,0.5519415999999999,0.400758,0.64412,0.5519415999999999,0.773691
xgb-alphaearth,8,rechazo por confianza,0.853271,0.6072358,0.513637,0.698882,0.45971139999999994,0.8399938
xgb-alphaearth,8,retirada por F1,0.853271,0.6059198,0.499607,0.687989,0.6059198,0.790285
