universo,mecanismo,k_leyenda,bloque,n_entregadas,cobertura,f1_alineado,f1_nativo,accuracy,leyenda
todas las clases,retirada por F1,9,frh01,30000,1.0,0.497867,0.497867,0.742133,"0,1,2,3,4,5,6,7,8"
todas las clases,retirada por F1,9,frh04,30000,1.0,0.481067,0.481067,0.725733,"0,1,2,3,4,5,6,7,8"
todas las clases,retirada por F1,8,frh01,30000,1.0,0.5601,0.5601,0.742133,"0,1,2,3,5,6,7,8"
todas las clases,retirada por F1,8,frh04,30000,1.0,0.541201,0.541201,0.725733,"0,1,2,3,5,6,7,8"
todas las clases,retirada por F1,7,frh01,30000,1.0,0.640114,0.640114,0.742133,"0,1,2,3,6,7,8"
todas las clases,retirada por F1,7,frh04,30000,1.0,0.618515,0.618515,0.725733,"0,1,2,3,6,7,8"
todas las clases,retirada por F1,6,frh01,30000,1.0,0.7468,0.7468,0.742133,"0,1,2,3,7,8"
todas las clases,retirada por F1,6,frh04,30000,1.0,0.721601,0.721601,0.725733,"0,1,2,3,7,8"
todas las clases,retirada por F1,5,frh01,24464,0.815467,0.812943,0.812943,0.789405,"0,1,2,3,8"
todas las clases,retirada por F1,5,frh04,27105,0.9035,0.79807,0.79807,0.738129,"0,1,2,3,8"
todas las clases,retirada por F1,4,frh01,22940,0.764667,0.858542,0.858542,0.788099,"1,2,3,8"
todas las clases,retirada por F1,4,frh04,25407,0.8469,0.857271,0.857271,0.747353,"1,2,3,8"
todas las clases,retirada por F1,3,frh01,13463,0.448767,0.912665,0.912665,0.889921,"1,2,3"
todas las clases,retirada por F1,3,frh04,13147,0.438233,0.912613,0.912613,0.872138,"1,2,3"
todas las clases,retirada por soporte,9,frh01,30000,1.0,0.497867,0.497867,0.742133,"0,1,2,3,4,5,6,7,8"
todas las clases,retirada por soporte,9,frh04,30000,1.0,0.481067,0.481067,0.725733,"0,1,2,3,4,5,6,7,8"
todas las clases,retirada por soporte,8,frh01,30000,1.0,0.5601,0.5601,0.742133,"0,1,2,3,5,6,7,8"
todas las clases,retirada por soporte,8,frh04,30000,1.0,0.541201,0.541201,0.725733,"0,1,2,3,5,6,7,8"
todas las clases,retirada por soporte,7,frh01,30000,1.0,0.640114,0.640114,0.742133,"0,1,2,3,5,7,8"
todas las clases,retirada por soporte,7,frh04,30000,1.0,0.618515,0.618515,0.725733,"0,1,2,3,5,7,8"
todas las clases,retirada por soporte,6,frh01,30000,1.0,0.7468,0.7468,0.742133,"0,1,2,3,7,8"
todas las clases,retirada por soporte,6,frh04,30000,1.0,0.721601,0.721601,0.725733,"0,1,2,3,7,8"
todas las clases,retirada por soporte,5,frh01,29037,0.9679,0.730866,0.730866,0.738954,"0,1,3,7,8"
todas las clases,retirada por soporte,5,frh04,29401,0.980033,0.694933,0.694933,0.720554,"0,1,3,7,8"
todas las clases,retirada por soporte,4,frh01,27513,0.9171,0.751923,0.751923,0.735071,"1,3,7,8"
todas las clases,retirada por soporte,4,frh04,27703,0.923433,0.715835,0.715835,0.727936,"1,3,7,8"
todas las clases,retirada por soporte,3,frh01,22957,0.765233,0.71484,0.71484,0.705188,"3,7,8"
todas las clases,retirada por soporte,3,frh04,22414,0.747133,0.693331,0.693331,0.728027,"3,7,8"
todas las clases,rechazo por confianza,9,frh01,30000,1.0,0.497867,0.497867,0.742133,"0,1,2,3,4,5,6,7,8"
todas las clases,rechazo por confianza,9,frh04,30000,1.0,0.481067,0.481067,0.725733,"0,1,2,3,4,5,6,7,8"
todas las clases,rechazo por confianza,8,frh01,30000,1.0,0.5601,0.497867,0.742133,"0,1,2,3,4,5,6,7,8"
todas las clases,rechazo por confianza,8,frh04,30000,1.0,0.541201,0.481067,0.725733,"0,1,2,3,4,5,6,7,8"
todas las clases,rechazo por confianza,7,frh01,30000,1.0,0.640114,0.497867,0.742133,"0,1,2,3,4,5,6,7,8"
todas las clases,rechazo por confianza,7,frh04,30000,1.0,0.618515,0.481067,0.725733,"0,1,2,3,4,5,6,7,8"
todas las clases,rechazo por confianza,6,frh01,30000,1.0,0.7468,0.497867,0.742133,"0,1,2,3,4,5,6,7,8"
todas las clases,rechazo por confianza,6,frh04,30000,1.0,0.721601,0.481067,0.725733,"0,1,2,3,4,5,6,7,8"
todas las clases,rechazo por confianza,5,frh01,24464,0.815467,0.837699,0.528261,0.802731,"0,1,2,3,4,5,6,7,8"
todas las clases,rechazo por confianza,5,frh04,27105,0.9035,0.82299,0.497826,0.756724,"0,1,2,3,4,5,6,7,8"
todas las clases,rechazo por confianza,4,frh01,22940,0.764667,0.874405,0.534157,0.818832,"0,1,2,3,4,5,6,7,8"
todas las clases,rechazo por confianza,4,frh04,25407,0.8469,0.863994,0.502544,0.774314,"0,1,2,3,4,5,6,7,8"
todas las clases,rechazo por confianza,3,frh01,13463,0.448767,0.962517,0.644828,0.937904,"0,1,2,3,4,5,6,7,8"
todas las clases,rechazo por confianza,3,frh04,13147,0.438233,0.968568,0.605979,0.931011,"0,1,2,3,4,5,6,7,8"
todas las clases,sin mecanismo,9,frh01,30000,1.0,0.497867,0.497867,0.742133,"0,1,2,3,4,5,6,7,8"
todas las clases,sin mecanismo,9,frh04,30000,1.0,0.481067,0.481067,0.725733,"0,1,2,3,4,5,6,7,8"
todas las clases,sin mecanismo,8,frh01,30000,1.0,0.5601,0.5601,0.742133,"0,1,2,3,5,6,7,8"
todas las clases,sin mecanismo,8,frh04,30000,1.0,0.541201,0.541201,0.725733,"0,1,2,3,5,6,7,8"
todas las clases,sin mecanismo,7,frh01,30000,1.0,0.640114,0.640114,0.742133,"0,1,2,3,6,7,8"
todas las clases,sin mecanismo,7,frh04,30000,1.0,0.618515,0.618515,0.725733,"0,1,2,3,6,7,8"
todas las clases,sin mecanismo,6,frh01,30000,1.0,0.7468,0.7468,0.742133,"0,1,2,3,7,8"
todas las clases,sin mecanismo,6,frh04,30000,1.0,0.721601,0.721601,0.725733,"0,1,2,3,7,8"
todas las clases,sin mecanismo,5,frh01,30000,1.0,0.789772,0.789772,0.742133,"0,1,2,3,8"
todas las clases,sin mecanismo,5,frh04,30000,1.0,0.790024,0.790024,0.725733,"0,1,2,3,8"
todas las clases,sin mecanismo,4,frh01,30000,1.0,0.823208,0.823208,0.742133,"1,2,3,8"
todas las clases,sin mecanismo,4,frh04,30000,1.0,0.826091,0.826091,0.725733,"1,2,3,8"
todas las clases,sin mecanismo,3,frh01,30000,1.0,0.87467,0.87467,0.742133,"1,2,3"
todas las clases,sin mecanismo,3,frh04,30000,1.0,0.869455,0.869455,0.725733,"1,2,3"
clases con al menos 100 parcelas,retirada por F1,7,frh01,29998,1.0,0.640144,0.640144,0.742183,"0,1,2,3,4,5,6"
clases con al menos 100 parcelas,retirada por F1,7,frh04,29993,1.0,0.618556,0.618556,0.725903,"0,1,2,3,4,5,6"
clases con al menos 100 parcelas,retirada por F1,6,frh01,29998,1.0,0.746835,0.746835,0.742183,"0,1,2,3,5,6"
clases con al menos 100 parcelas,retirada por F1,6,frh04,29993,1.0,0.721648,0.721648,0.725903,"0,1,2,3,5,6"
clases con al menos 100 parcelas,retirada por F1,5,frh01,24462,0.815454,0.812988,0.812988,0.789469,"0,1,2,3,6"
clases con al menos 100 parcelas,retirada por F1,5,frh04,27101,0.903578,0.798104,0.798104,0.738238,"0,1,2,3,6"
clases con al menos 100 parcelas,retirada por F1,4,frh01,22939,0.764684,0.858554,0.858554,0.788134,"1,2,3,6"
clases con al menos 100 parcelas,retirada por F1,4,frh04,25403,0.846964,0.857314,0.857314,0.747471,"1,2,3,6"
clases con al menos 100 parcelas,retirada por F1,3,frh01,13463,0.448797,0.912665,0.912665,0.889921,"1,2,3"
clases con al menos 100 parcelas,retirada por F1,3,frh04,13146,0.438302,0.912635,0.912635,0.872204,"1,2,3"
clases con al menos 100 parcelas,retirada por soporte,7,frh01,29998,1.0,0.640144,0.640144,0.742183,"0,1,2,3,4,5,6"
clases con al menos 100 parcelas,retirada por soporte,7,frh04,29993,1.0,0.618556,0.618556,0.725903,"0,1,2,3,4,5,6"
clases con al menos 100 parcelas,retirada por soporte,6,frh01,29998,1.0,0.746835,0.746835,0.742183,"0,1,2,3,5,6"
clases con al menos 100 parcelas,retirada por soporte,6,frh04,29993,1.0,0.721648,0.721648,0.725903,"0,1,2,3,5,6"
clases con al menos 100 parcelas,retirada por soporte,5,frh01,29035,0.967898,0.73091,0.73091,0.739005,"0,1,3,5,6"
clases con al menos 100 parcelas,retirada por soporte,5,frh04,29394,0.980029,0.69499,0.69499,0.720725,"0,1,3,5,6"
clases con al menos 100 parcelas,retirada por soporte,4,frh01,27512,0.917128,0.751932,0.751932,0.735097,"1,3,5,6"
clases con al menos 100 parcelas,retirada por soporte,4,frh04,27696,0.923415,0.715906,0.715906,0.72812,"1,3,5,6"
clases con al menos 100 parcelas,retirada por soporte,3,frh01,22956,0.765251,0.714852,0.714852,0.705219,"3,5,6"
clases con al menos 100 parcelas,retirada por soporte,3,frh04,22407,0.747074,0.693432,0.693432,0.728255,"3,5,6"
clases con al menos 100 parcelas,rechazo por confianza,7,frh01,29998,1.0,0.640144,0.640144,0.742183,"0,1,2,3,4,5,6"
clases con al menos 100 parcelas,rechazo por confianza,7,frh04,29993,1.0,0.618556,0.618556,0.725903,"0,1,2,3,4,5,6"
clases con al menos 100 parcelas,rechazo por confianza,6,frh01,29998,1.0,0.746835,0.640144,0.742183,"0,1,2,3,4,5,6"
clases con al menos 100 parcelas,rechazo por confianza,6,frh04,29993,1.0,0.721648,0.618556,0.725903,"0,1,2,3,4,5,6"
clases con al menos 100 parcelas,rechazo por confianza,5,frh01,24462,0.815454,0.837627,0.679114,0.802674,"0,1,2,3,4,5,6"
