k,colchon_km,bloques,separacion_centroides_min_km,clases_min_S20,parcelas_de_prueba
5,1.0,5,22.972,10,16640
5,5.0,5,22.972,10,16640
5,10.0,5,22.972,10,16640
5,15.0,5,22.972,10,16640
8,1.0,8,1.975,9,16351
8,5.0,8,4.885,9,15898
8,10.0,8,11.281,8,14314
8,15.0,8,20.694,7,12806
10,1.0,10,1.85,5,16478
10,5.0,10,4.885,5,15945
10,10.0,10,10.107,5,13877
10,15.0,10,15.628,4,12026
12,1.0,12,2.506,2,16435
12,5.0,12,5.106,2,15933
12,10.0,12,9.996,2,13949
12,15.0,12,15.478,2,11516
15,1.0,15,2.009,2,16321
15,5.0,15,4.951,2,15418
15,10.0,15,10.463,2,12752
15,15.0,15,14.989,2,10413
