front,source,query,id,doi,year,title,first_author
F2-cardinalidad-selectiva,semanticscholar,crop type class hierarchy nomenclature harmonisation EuroCrops,289365259,10.5194/essd-18-4075-2026,2026,"EuroCrops v2.0: multi-annual harmonized parcel level crop type data linked to European Union-wide survey, statistical, and Earth Observation products",Martin Claverie
F2-cardinalidad-selectiva,semanticscholar,crop type class hierarchy nomenclature harmonisation EuroCrops,249264482,10.5194/isprs-archives-xliii-b3-2022-1301-2022,2022,A DEEP LEARNING APPROACH FOR CROP TYPE MAPPING BASED ON COMBINED TIME SERIES OF SATELLITE AND WEATHER DATA,N. Addimando
F2-cardinalidad-selectiva,semanticscholar,crop type class hierarchy nomenclature harmonisation EuroCrops,2302.10202,10.48550/arXiv.2302.10202,2023,EuroCrops: All you need to know about the Largest Harmonised Open Crop Dataset Across the European Union,M. Schneider
F2-cardinalidad-selectiva,semanticscholar,crop type class hierarchy nomenclature harmonisation EuroCrops,255198168,,2022,Comment on essd-2022-300,Anonymous Referee
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,287189112,10.3390/rs18071065,2026,Evaluating the Performance of AlphaEarth Foundation Embeddings for Irrigated Cropland Mapping Across Regions and Years,Lulu Yang
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,2606.20697,10.48550/arXiv.2606.20697,2026,AEF-Econ: Toward Plug-and-Play Socioeconomic Foundation Embeddings from AlphaEarth for Urban Remote Sensing,Shuyang Hou
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,2601.00857,10.1016/j.jag.2026.105258,2025,Harvesting AlphaEarth: Benchmarking the Geospatial Foundation Model for Agricultural Downstream Tasks,Yuchi Ma
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,284855142,10.3390/rs18020293,2026,Streamlining Wetland Vegetation Mapping with AlphaEarth Embeddings: Comparable Accuracy to Traditional Methods with Cleaner Maps and Minimal Preprocessing,Shawn Ryan
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,288550750,10.1117/12.3112513,2026,Foundation model embeddings for cropland extraction in fragmented mountainous landscapes: robustness and data efficiency,Ting Wu
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,2603.02080,10.48550/arXiv.2603.02080,2026,From Pixels to Patches: Pooling Strategies for Earth Embeddings,I. Corley
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,2604.03456,10.48550/arXiv.2604.03456,2026,Earth Embeddings Reveal Diverse Urban Signals from Space,Wenjing Gong
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,291501292,10.3389/frsen.2026.1895172,2026,From foundational models to interpretability: a comparative study of embeddings and feature engineering for smallholder irrigation detection in Sub-Saharan Africa,H. Siddiqui
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,285570046,10.3390/agriculture16040412,2026,AI-Driven Precision Mapping of Tea Plantations Using AlphaEarth Foundations: A Scalable Solution for Smart Agricultural Monitoring,Wei Wang
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,290847477,10.1109/WACVW68408.2026.00158,2026,Application of AlphaEarth GeoFoundation Model for High-Accuracy Crop Yield Estimation,Jichao Fang
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,2604.18715,10.48550/arXiv.2604.18715,2026,Characterizing AlphaEarth Embedding Geometry for Agentic Environmental Reasoning,Mashrekur Rahman
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,289918058,10.5194/isprs-annals-xi-2-2026-865-2026,2026,Utilising embeddings for maps of winter wheat and crop rotation in Henan China during 2018-2024,Ziwei Du
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,288556819,10.1088/2515-7620/ae6f8c,2026,Large underestimation of smallholder agriculture in the tropics by classic remote sensing products: evidenced from the Kasaï River Basin,Pengzhi Zhao
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,2608.04792,,2026,Above-ground Biomass Estimation with Geospatial Foundation Models,Ghjulia Sialellia
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,289839829,10.1109/M2GARSS67833.2026.11581979,2026,Mapping Crop and Irrigation Types in Morocco Using a Satellite Embedding Foundation Model,C. El Hachimi
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,283605873,10.34190/icair.5.1.4386,2025,Seeds of Deception: Securing AI-Driven Agriculture Against Adversarial Threats,R. Bhat
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,289466257,10.1093/bib/bbag329,2026,Comprehensive review and assessment of multi-species splicing variant prediction: task-specific deep learning models and genomic foundation models,Yinuo Sun
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,2509.03497,10.48550/arXiv.2509.03497,2025,Invariant Features for Global Crop Type Classification,Xin Tong
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,284025560,10.5194/essd-18-5601-2026,2026,Mapping complex cropping patterns in China (2018–2021) at 10 m resolution: a data-driven framework based on multi-product integration and Google satellite embedding,Xiyu Li
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,285029055,10.3390/agriengineering8010038,2026,AgroLLM: Connecting Farmers and Agricultural Practices Through Large Language Models for Enhanced Knowledge Transfer and Practical Application,Dinesh Jackson Samuel Ravindran
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,286298492,10.47760/ijcsmc.2026.v15i02.007,2026,Land Use-Cover Change Modelling Using Deep Learning Techniques with a focusing on an Agrarian Community,Johnson O.E
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,290656810,10.67228/30715725/ijiare-2025pii4q8n,2025,Transformer-Based Visual Perception Models for Autonomous Robots,Mahabala H.N
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,277821203,10.1109/ICAITPR63242.2024.10960199,2024,EfficientNetB0-Based Deep Learning Approach for Crop Growth Stage Classification,Bairi Sai Priya
F3-contexto-espacial-fm,semanticscholar,AlphaEarth foundation embeddings agriculture benchmark,269987459,10.1145/3652628.3652820,2023,Enhancing Agricultural Disease Segmentation with Adapter-Based Fine-Tuning of the Segment Anything Model: Adapter Fine-Tuning in Agri-Disease Segmentation,Lang Lang
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,2502.17476,10.3233/SHTI250902,2025,Fusion of ECG Foundation Model Embeddings to Improve Early Detection of Acute Coronary Syndromes,Ze-Min Meng
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,2602.10354,10.48550/arXiv.2602.10354,2026,Physically Interpretable AlphaEarth Foundation Model Embeddings Enable LLM-Based Land Surface Intelligence,Mashrekur Rahman
